,District Code,Age Group,Total Persons
0,638,All ages,36842
1,638,0-4,3229
2,638,5-9,2576
3,638,10-14,2684
4,638,15-19,2773
5,638,20-24,3544
6,638,25-29,3980
7,638,30-34,3491
8,638,35-39,3332
9,638,40-44,2791
10,638,45-49,2474
11,638,50-54,1892
12,638,55-59,1380
13,638,60-64,972
14,638,65-69,722
15,638,70-74,454
16,638,75-79,242
17,638,80+,260
18,638,Age not stated,46
19,639,All ages,105597
20,639,0-4,8297
21,639,5-9,9110
22,639,10-14,10495
23,639,15-19,9374
24,639,20-24,9386
25,639,25-29,10688
26,639,30-34,9113
27,639,35-39,8583
28,639,40-44,6906
29,639,45-49,6139
30,639,50-54,4638
31,639,55-59,3809
32,639,60-64,3545
33,639,65-69,2184
34,639,70-74,1514
35,639,75-79,817
36,639,80+,957
37,639,Age not stated,42
38,640,All ages,238142
39,640,0-4,17228
40,640,5-9,18768
41,640,10-14,20288
42,640,15-19,20879
43,640,20-24,24185
44,640,25-29,27054
45,640,30-34,23119
46,640,35-39,20927
47,640,40-44,17038
48,640,45-49,15248
49,640,50-54,10766
50,640,55-59,8605
51,640,60-64,5859
52,640,65-69,3320
53,640,70-74,2130
54,640,75-79,1192
55,640,80+,1256
56,640,Age not stated,280
57,245,All ages,49977
58,245,0-4,3918
59,245,5-9,4714
60,245,10-14,5045
61,245,15-19,4870
62,245,20-24,5865
63,245,25-29,6297
64,245,30-34,4757
65,245,35-39,3864
66,245,40-44,2988
67,245,45-49,2240
68,245,50-54,1595
69,245,55-59,972
70,245,60-64,983
71,245,65-69,624
72,245,70-74,448
73,245,75-79,299
74,245,80+,478
75,245,Age not stated,20
76,246,All ages,83947
77,246,0-4,8026
78,246,5-9,8954
79,246,10-14,9297
80,246,15-19,8329
81,246,20-24,9049
82,246,25-29,9371
83,246,30-34,6998
84,246,35-39,6284
85,246,40-44,4923
86,246,45-49,4157
87,246,50-54,2837
88,246,55-59,1946
89,246,60-64,1464
90,246,65-69,878
91,246,70-74,602
92,246,75-79,331
93,246,80+,435
94,246,Age not stated,66
95,247,All ages,78690
96,247,0-4,9672
97,247,5-9,12256
98,247,10-14,11623
99,247,15-19,8537
100,247,20-24,5897
101,247,25-29,5767
102,247,30-34,5148
103,247,35-39,5083
104,247,40-44,4246
105,247,45-49,3445
106,247,50-54,2618
107,247,55-59,1646
108,247,60-64,1309
109,247,65-69,612
110,247,70-74,394
111,247,75-79,132
112,247,80+,249
113,247,Age not stated,56
114,248,All ages,176573
115,248,0-4,17208
116,248,5-9,20085
117,248,10-14,22949
118,248,15-19,22569
119,248,20-24,20182
120,248,25-29,17599
121,248,30-34,13517
122,248,35-39,12325
123,248,40-44,10342
124,248,45-49,7628
125,248,50-54,4751
126,248,55-59,2768
127,248,60-64,1879
128,248,65-69,926
129,248,70-74,627
130,248,75-79,290
131,248,80+,615
132,248,Age not stated,313
133,249,All ages,83448
134,249,0-4,8126
135,249,5-9,10877
136,249,10-14,11891
137,249,15-19,10669
138,249,20-24,7919
139,249,25-29,6572
140,249,30-34,5788
141,249,35-39,5629
142,249,40-44,4895
143,249,45-49,3743
144,249,50-54,2765
145,249,55-59,1614
146,249,60-64,1357
147,249,65-69,618
148,249,70-74,413
149,249,75-79,143
150,249,80+,320
151,249,Age not stated,109
152,250,All ages,112274
153,250,0-4,9839
154,250,5-9,12737
155,250,10-14,15038
156,250,15-19,13006
157,250,20-24,10048
158,250,25-29,9747
159,250,30-34,8374
160,250,35-39,7727
161,250,40-44,6811
162,250,45-49,5393
163,250,50-54,4107
164,250,55-59,2747
165,250,60-64,2761
166,250,65-69,1602
167,250,70-74,1178
168,250,75-79,435
169,250,80+,639
170,250,Age not stated,85
171,251,All ages,99214
172,251,0-4,8629
173,251,5-9,10586
174,251,10-14,12885
175,251,15-19,11594
176,251,20-24,9583
177,251,25-29,8716
178,251,30-34,7243
179,251,35-39,7175
180,251,40-44,5935
181,251,45-49,4981
182,251,50-54,3537
183,251,55-59,2209
184,251,60-64,2311
185,251,65-69,1656
186,251,70-74,1050
187,251,75-79,543
188,251,80+,496
189,251,Age not stated,85
190,252,All ages,35320
191,252,0-4,3265
192,252,5-9,4117
193,252,10-14,4489
194,252,15-19,3489
195,252,20-24,2901
196,252,25-29,2829
197,252,30-34,2799
198,252,35-39,2307
199,252,40-44,2005
200,252,45-49,1799
201,252,50-54,1442
202,252,55-59,994
203,252,60-64,1039
204,252,65-69,622
205,252,70-74,526
206,252,75-79,277
207,252,80+,352
208,252,Age not stated,68
209,253,All ages,148226
210,253,0-4,17716
211,253,5-9,19224
212,253,10-14,17934
213,253,15-19,14862
214,253,20-24,13512
215,253,25-29,13382
216,253,30-34,11043
217,253,35-39,10049
218,253,40-44,7623
219,253,45-49,6303
220,253,50-54,4864
221,253,55-59,3599
222,253,60-64,2899
223,253,65-69,1823
224,253,70-74,1466
225,253,75-79,798
226,253,80+,965
227,253,Age not stated,164
228,254,All ages,111975
229,254,0-4,13613
230,254,5-9,15678
231,254,10-14,14304
232,254,15-19,10992
233,254,20-24,8739
234,254,25-29,8459
235,254,30-34,7071
236,254,35-39,6924
237,254,40-44,6195
238,254,45-49,5479
239,254,50-54,4223
240,254,55-59,3071
241,254,60-64,2509
242,254,65-69,1587
243,254,70-74,1229
244,254,75-79,757
245,254,80+,1047
246,254,Age not stated,98
247,255,All ages,83030
248,255,0-4,6835
249,255,5-9,9086
250,255,10-14,11147
251,255,15-19,11592
252,255,20-24,8913
253,255,25-29,7685
254,255,30-34,5999
255,255,35-39,5781
256,255,40-44,4650
257,255,45-49,3875
258,255,50-54,2691
259,255,55-59,1704
260,255,60-64,1343
261,255,65-69,789
262,255,70-74,477
263,255,75-79,169
264,255,80+,239
265,255,Age not stated,55
266,256,All ages,92076
267,256,0-4,11284
268,256,5-9,14238
269,256,10-14,13916
270,256,15-19,11124
271,256,20-24,7240
272,256,25-29,6577
273,256,30-34,5949
274,256,35-39,5866
275,256,40-44,5111
276,256,45-49,3787
277,256,50-54,2796
278,256,55-59,1527
279,256,60-64,1288
280,256,65-69,520
281,256,70-74,364
282,256,75-79,107
283,256,80+,234
284,256,Age not stated,148
285,257,All ages,8004
286,257,0-4,740
287,257,5-9,863
288,257,10-14,949
289,257,15-19,859
290,257,20-24,871
291,257,25-29,831
292,257,30-34,591
293,257,35-39,591
294,257,40-44,511
295,257,45-49,395
296,257,50-54,252
297,257,55-59,175
298,257,60-64,155
299,257,65-69,95
300,257,70-74,36
301,257,75-79,15
302,257,80+,58
303,257,Age not stated,17
304,258,All ages,54080
305,258,0-4,5416
306,258,5-9,6472
307,258,10-14,7003
308,258,15-19,6173
309,258,20-24,5244
310,258,25-29,4832
311,258,30-34,3860
312,258,35-39,3608
313,258,40-44,3113
314,258,45-49,2673
315,258,50-54,1984
316,258,55-59,1216
317,258,60-64,974
318,258,65-69,599
319,258,70-74,423
320,258,75-79,179
321,258,80+,277
322,258,Age not stated,34
323,259,All ages,145726
324,259,0-4,16204
325,259,5-9,18539
326,259,10-14,18187
327,259,15-19,15267
328,259,20-24,13737
329,259,25-29,12956
330,259,30-34,10485
331,259,35-39,9845
332,259,40-44,8226
333,259,45-49,6937
334,259,50-54,5000
335,259,55-59,3213
336,259,60-64,2690
337,259,65-69,1665
338,259,70-74,1197
339,259,75-79,565
340,259,80+,865
341,259,Age not stated,148
342,260,All ages,21167
343,260,0-4,2388
344,260,5-9,2697
345,260,10-14,2702
346,260,15-19,2036
347,260,20-24,1996
348,260,25-29,2094
349,260,30-34,1549
350,260,35-39,1333
351,260,40-44,1029
352,260,45-49,844
353,260,50-54,648
354,260,55-59,485
355,260,60-64,484
356,260,65-69,357
357,260,70-74,217
358,260,75-79,95
359,260,80+,170
360,260,Age not stated,43
361,532,All ages,2741239
362,532,0-4,208808
363,532,5-9,256466
364,532,10-14,291813
365,532,15-19,280583
366,532,20-24,260882
367,532,25-29,237826
368,532,30-34,205149
369,532,35-39,195268
370,532,40-44,164943
371,532,45-49,139191
372,532,50-54,106868
373,532,55-59,83269
374,532,60-64,91285
375,532,65-69,60783
376,532,70-74,41190
