,District Code,Occupation,Total Main Worker (Person)
0,638,TOTAL,8837
1,638,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",310
2,638,Legislators and Senior Officials,47
3,638,Corporate Managers,263
4,638,PROFESSIONALS,424
5,638,"Physical, Mathematical and Engineering Science Professionals",83
6,638,Life Science and Health Professionals,47
7,638,Teaching Professionals,146
8,638,Other Professionals,148
9,638,TECHNICIANS AND ASSOCIATE PROFESSIONALS,746
10,638,Physical and Engineering Science Associate Professionals,54
11,638,Life Science and Health Associate Professionals,247
12,638,Teaching Associate Professionals,258
13,638,Other Associate Professionals,187
14,638,CLERKS,294
15,638,Office Clerks,284
16,638,Customer Services Clerks,10
17,638,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,1295
18,638,Personal and Protective Service Workers,1030
19,638,"Models, Sales Persons and Demonstrators",265
20,638,SKILLED AGRICULTURAL AND FISHERY WORKERS,272
21,638,Market Oriented Skilled Agricultural and Fishery Workers,272
22,638,CRAFT AND RELATED TRADES WORKERS,676
23,638,Extraction and Building Trades Workers,332
24,638,"Metal, Machinery and Related Trades Workers",196
25,638,"Precision, Handicraft, Printing and Related Trades Workers",8
26,638,Other Craft and Related Trades Workers,140
27,638,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,863
28,638,Stationary Plant and Related Operators,68
29,638,Machine Operators and Assemblers,464
30,638,Drivers and Mobile-Plant Operators,331
31,638,ELEMENTARY OCCUPATIONS,2550
32,638,Sales and Services Elementary Occupations,192
33,638,"Agricultural, Fishery and Related Labourers",646
34,638,"Labourers in Mining, Construction, Manufacturing and Transport",1712
35,638,WORKERS NOT CLASSIFIED BY OCCUPATIONS,1407
36,638,Workers Not Reporting Any Occupations,1407
37,639,TOTAL,21590
38,639,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",1813
39,639,Legislators and Senior Officials,203
40,639,Corporate Managers,1608
41,639,General Managers,2
42,639,PROFESSIONALS,1088
43,639,"Physical, Mathematical and Engineering Science Professionals",154
44,639,Life Science and Health Professionals,71
45,639,Teaching Professionals,566
46,639,Other Professionals,297
47,639,TECHNICIANS AND ASSOCIATE PROFESSIONALS,2091
48,639,Physical and Engineering Science Associate Professionals,163
49,639,Life Science and Health Associate Professionals,595
50,639,Teaching Associate Professionals,1013
51,639,Other Associate Professionals,320
52,639,CLERKS,613
53,639,Office Clerks,566
54,639,Customer Services Clerks,47
