,State Code,Occupation,Total Main Worker (Person)
0,35,TOTAL,107736
1,35,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",7230
2,35,Legislators and Senior Officials,642
3,35,Corporate Managers,6577
4,35,General Managers,11
5,35,PROFESSIONALS,5947
6,35,"Physical, Mathematical and Engineering Science Professionals",1510
7,35,Life Science and Health Professionals,523
8,35,Teaching Professionals,2107
9,35,Other Professionals,1807
10,35,TECHNICIANS AND ASSOCIATE PROFESSIONALS,9422
11,35,Physical and Engineering Science Associate Professionals,988
12,35,Life Science and Health Associate Professionals,2524
13,35,Teaching Associate Professionals,3363
14,35,Other Associate Professionals,2547
15,35,CLERKS,4799
16,35,Office Clerks,4446
17,35,Customer Services Clerks,353
18,35,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,18318
19,35,Personal and Protective Service Workers,12323
20,35,"Models, Sales Persons and Demonstrators",5995
21,35,SKILLED AGRICULTURAL AND FISHERY WORKERS,5723
22,35,Market Oriented Skilled Agricultural and Fishery Workers,5720
23,35,Subsistence Agricultural and Fishery Workers,3
24,35,CRAFT AND RELATED TRADES WORKERS,11318
25,35,Extraction and Building Trades Workers,5692
26,35,"Metal, Machinery and Related Trades Workers",3674
27,35,"Precision, Handicraft, Printing and Related Trades Workers",569
28,35,Other Craft and Related Trades Workers,1383
29,35,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,9949
30,35,Stationary Plant and Related Operators,706
31,35,Machine Operators and Assemblers,1150
32,35,Drivers and Mobile-Plant Operators,8093
33,35,ELEMENTARY OCCUPATIONS,25291
34,35,Sales and Services Elementary Occupations,3921
35,35,"Agricultural, Fishery and Related Labourers",3769
36,35,"Labourers in Mining, Construction, Manufacturing and Transport",17601
37,35,WORKERS NOT CLASSIFIED BY OCCUPATIONS,9739
38,35,Workers Not Reporting Any Occupations,9739
39,4,TOTAL,378323
40,4,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",32793
41,4,Legislators and Senior Officials,5297
42,4,Corporate Managers,26927
43,4,General Managers,569
44,4,PROFESSIONALS,37667
45,4,"Physical, Mathematical and Engineering Science Professionals",7611
46,4,Life Science and Health Professionals,4626
47,4,Teaching Professionals,7715
48,4,Other Professionals,17715
49,4,TECHNICIANS AND ASSOCIATE PROFESSIONALS,37838
50,4,Physical and Engineering Science Associate Professionals,4511
51,4,Life Science and Health Associate Professionals,4130
52,4,Teaching Associate Professionals,5921
53,4,Other Associate Professionals,23276
54,4,CLERKS,19414
55,4,Office Clerks,17344
56,4,Customer Services Clerks,2070
57,4,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,64528
58,4,Personal and Protective Service Workers,27527
59,4,"Models, Sales Persons and Demonstrators",37001
60,4,SKILLED AGRICULTURAL AND FISHERY WORKERS,4453
61,4,Market Oriented Skilled Agricultural and Fishery Workers,4453
62,4,CRAFT AND RELATED TRADES WORKERS,43348
63,4,Extraction and Building Trades Workers,22038
64,4,"Metal, Machinery and Related Trades Workers",10977
65,4,"Precision, Handicraft, Printing and Related Trades Workers",2083
66,4,Other Craft and Related Trades Workers,8250
67,4,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,25246
68,4,Stationary Plant and Related Operators,1724
69,4,Machine Operators and Assemblers,6479
70,4,Drivers and Mobile-Plant Operators,17043
71,4,ELEMENTARY OCCUPATIONS,83119
72,4,Sales and Services Elementary Occupations,38017
73,4,"Agricultural, Fishery and Related Labourers",101
74,4,"Labourers in Mining, Construction, Manufacturing and Transport",45001
75,4,WORKERS NOT CLASSIFIED BY OCCUPATIONS,29917
76,4,Workers Not Reporting Any Occupations,29917
77,1,TOTAL,1840621
78,1,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",128710
79,1,Legislators and Senior Officials,90348
80,1,Corporate Managers,38172
81,1,General Managers,190
82,1,PROFESSIONALS,65961
83,1,"Physical, Mathematical and Engineering Science Professionals",16813
84,1,Life Science and Health Professionals,18142
85,1,Teaching Professionals,15360
86,1,Other Professionals,15646
87,1,TECHNICIANS AND ASSOCIATE PROFESSIONALS,207830
88,1,Physical and Engineering Science Associate Professionals,8181
89,1,Life Science and Health Associate Professionals,33028
90,1,Teaching Associate Professionals,102313
91,1,Other Associate Professionals,64308
92,1,CLERKS,44174
93,1,Office Clerks,40590
94,1,Customer Services Clerks,3584
95,1,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,368648
96,1,Personal and Protective Service Workers,142345
97,1,"Models, Sales Persons and Demonstrators",226303
98,1,SKILLED AGRICULTURAL AND FISHERY WORKERS,47143
99,1,Market Oriented Skilled Agricultural and Fishery Workers,47133
100,1,Subsistence Agricultural and Fishery Workers,10
101,1,CRAFT AND RELATED TRADES WORKERS,165698
102,1,Extraction and Building Trades Workers,68727
103,1,"Metal, Machinery and Related Trades Workers",31272
104,1,"Precision, Handicraft, Printing and Related Trades Workers",5807
105,1,Other Craft and Related Trades Workers,59892
106,1,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,113360
107,1,Stationary Plant and Related Operators,5466
108,1,Machine Operators and Assemblers,12502
109,1,Drivers and Mobile-Plant Operators,95392
110,1,ELEMENTARY OCCUPATIONS,181408
111,1,Sales and Services Elementary Occupations,43656
112,1,"Agricultural, Fishery and Related Labourers",5215
113,1,"Labourers in Mining, Construction, Manufacturing and Transport",132537
114,1,WORKERS NOT CLASSIFIED BY OCCUPATIONS,517689
115,1,Workers Not Reporting Any Occupations,517689
116,2,TOTAL,1044805
117,2,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",50743
118,2,Legislators and Senior Officials,20164
119,2,Corporate Managers,30371
120,2,General Managers,208
121,2,PROFESSIONALS,80235
122,2,"Physical, Mathematical and Engineering Science Professionals",18229
123,2,Life Science and Health Professionals,9590
124,2,Teaching Professionals,32393
125,2,Other Professionals,20023
126,2,TECHNICIANS AND ASSOCIATE PROFESSIONALS,129348
127,2,Physical and Engineering Science Associate Professionals,6605
128,2,Life Science and Health Associate Professionals,29103
129,2,Teaching Associate Professionals,53375
130,2,Other Associate Professionals,40265
131,2,CLERKS,50076
132,2,Office Clerks,47291
133,2,Customer Services Clerks,2785
134,2,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,181071
135,2,Personal and Protective Service Workers,75944
136,2,"Models, Sales Persons and Demonstrators",105127
137,2,SKILLED AGRICULTURAL AND FISHERY WORKERS,20390
138,2,Market Oriented Skilled Agricultural and Fishery Workers,20366
139,2,Subsistence Agricultural and Fishery Workers,24
140,2,CRAFT AND RELATED TRADES WORKERS,115105
141,2,Extraction and Building Trades Workers,52875
142,2,"Metal, Machinery and Related Trades Workers",36265
143,2,"Precision, Handicraft, Printing and Related Trades Workers",5559
144,2,Other Craft and Related Trades Workers,20406
145,2,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,89695
146,2,Stationary Plant and Related Operators,6802
147,2,Machine Operators and Assemblers,15334
148,2,Drivers and Mobile-Plant Operators,67559
149,2,ELEMENTARY OCCUPATIONS,233711
150,2,Sales and Services Elementary Occupations,57298
151,2,"Agricultural, Fishery and Related Labourers",3208
152,2,"Labourers in Mining, Construction, Manufacturing and Transport",173205
153,2,WORKERS NOT CLASSIFIED BY OCCUPATIONS,94431
154,2,Workers Not Reporting Any Occupations,94431
155,3,TOTAL,5176091
156,3,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",320371
157,3,Legislators and Senior Officials,126966
158,3,Corporate Managers,192591
159,3,General Managers,814
160,3,PROFESSIONALS,215019
161,3,"Physical, Mathematical and Engineering Science Professionals",34859
162,3,Life Science and Health Professionals,54990
163,3,Teaching Professionals,55766
164,3,Other Professionals,69404
165,3,TECHNICIANS AND ASSOCIATE PROFESSIONALS,411535
166,3,Physical and Engineering Science Associate Professionals,27654
167,3,Life Science and Health Associate Professionals,55199
168,3,Teaching Associate Professionals,153257
169,3,Other Associate Professionals,175425
170,3,CLERKS,106069
171,3,Office Clerks,96932
172,3,Customer Services Clerks,9137
173,3,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,910694
174,3,Personal and Protective Service Workers,182300
175,3,"Models, Sales Persons and Demonstrators",728394
176,3,SKILLED AGRICULTURAL AND FISHERY WORKERS,163513
177,3,Market Oriented Skilled Agricultural and Fishery Workers,163452
178,3,Subsistence Agricultural and Fishery Workers,61
179,3,CRAFT AND RELATED TRADES WORKERS,678697
180,3,Extraction and Building Trades Workers,321805
181,3,"Metal, Machinery and Related Trades Workers",181275
182,3,"Precision, Handicraft, Printing and Related Trades Workers",26464
183,3,Other Craft and Related Trades Workers,149153
184,3,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,478735
185,3,Stationary Plant and Related Operators,86112
186,3,Machine Operators and Assemblers,101033
187,3,Drivers and Mobile-Plant Operators,291590
188,3,ELEMENTARY OCCUPATIONS,1152869
189,3,Sales and Services Elementary Occupations,224250
190,3,"Agricultural, Fishery and Related Labourers",28549
191,3,"Labourers in Mining, Construction, Manufacturing and Transport",900070
192,3,WORKERS NOT CLASSIFIED BY OCCUPATIONS,738589
193,3,Workers Not Reporting Any Occupations,738589
194,4,TOTAL,378323
195,4,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",32793
196,4,Legislators and Senior Officials,5297
197,4,Corporate Managers,26927
198,4,General Managers,569
199,4,PROFESSIONALS,37667
200,4,"Physical, Mathematical and Engineering Science Professionals",7611
201,4,Life Science and Health Professionals,4626
202,4,Teaching Professionals,7715
203,4,Other Professionals,17715
204,4,TECHNICIANS AND ASSOCIATE PROFESSIONALS,37838
205,4,Physical and Engineering Science Associate Professionals,4511
206,4,Life Science and Health Associate Professionals,4130
207,4,Teaching Associate Professionals,5921
208,4,Other Associate Professionals,23276
209,4,CLERKS,19414
210,4,Office Clerks,17344
211,4,Customer Services Clerks,2070
212,4,SERVICE WORKERS AND SHOP & MARKET SALES WORKERS,64528
213,4,Personal and Protective Service Workers,27527
214,4,"Models, Sales Persons and Demonstrators",37001
215,4,SKILLED AGRICULTURAL AND FISHERY WORKERS,4453
216,4,Market Oriented Skilled Agricultural and Fishery Workers,4453
217,4,CRAFT AND RELATED TRADES WORKERS,43348
218,4,Extraction and Building Trades Workers,22038
219,4,"Metal, Machinery and Related Trades Workers",10977
220,4,"Precision, Handicraft, Printing and Related Trades Workers",2083
221,4,Other Craft and Related Trades Workers,8250
222,4,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,25246
223,4,Stationary Plant and Related Operators,1724
224,4,Machine Operators and Assemblers,6479
225,4,Drivers and Mobile-Plant Operators,17043
226,4,ELEMENTARY OCCUPATIONS,83119
227,4,Sales and Services Elementary Occupations,38017
228,4,"Agricultural, Fishery and Related Labourers",101
229,4,"Labourers in Mining, Construction, Manufacturing and Transport",45001
230,4,WORKERS NOT CLASSIFIED BY OCCUPATIONS,29917
231,4,Workers Not Reporting Any Occupations,29917
232,5,TOTAL,1499753
233,5,"LEGISLATORS, SENIOR OFFICIALS AND MANAGERS",92484
234,5,Legislators and Senior Officials,47611
235,5,Corporate Managers,43997
236,5,General Managers,876
237,5,PROFESSIONALS,90716
238,5,"Physical, Mathematical and Engineering Science Professionals",26357
239,5,Life Science and Health Professionals,12073
240,5,Teaching Professionals,28217
241,5,Other Professionals,24069
242,5,TECHNICIANS AND ASSOCIATE PROFESSIONALS,184445
243,5,Physical and Engineering Science Associate Professionals,9016
244,5,Life Science and Health Associate Professionals,29602
245,5,Teaching Associate Professionals,76888
246,5,Other Associate Professionals,68939
247,5,CLERKS,58015
248,5,Office Clerks,54416
249,5,Customer Services Clerks,3599
