,State Code,District Code,Name,Population (Person),Area,Population Density
3,1,0,JAMMU & KASHMIR,12541302,222236.0,124.0
6,1,1,Kupwara,870354,2379.0,366.0
18,1,2,Badgam,753745,1361.0,554.0
39,1,3,Leh(Ladakh),133487,45110.0,3.0
51,1,4,Kargil,140802,14036.0,10.0
63,1,5,Punch,476835,1674.0,285.0
78,1,6,Rajouri,642415,2630.0,244.0
102,1,7,Kathua,616435,2502.0,246.0
120,1,8,Baramula,1008039,4243.0,238.0
147,1,9,Bandipore,392232,345.0,1137.0
159,1,10,Srinagar,1236829,1979.0,625.0
168,1,11,Ganderbal,297446,259.0,1148.0
180,1,12,Pulwama,560440,1086.0,516.0
195,1,13,Shupiyan,266215,312.0,853.0
201,1,14,Anantnag,1078692,3574.0,302.0
222,1,15,Kulgam,424483,410.0,1035.0
234,1,16,Doda,409936,8912.0,46.0
249,1,17,Ramban,283713,1329.0,213.0
258,1,18,Kishtwar,230696,1644.0,140.0
273,1,19,Udhampur,554985,2637.0,210.0
288,1,20,Reasi,314667,1719.0,183.0
297,1,21,Jammu,1529958,2342.0,653.0
312,1,22,Samba,318898,904.0,353.0
318,2,0,HIMACHAL PRADESH,6864602,55673.0,123.0
321,2,23,Chamba,519080,6522.0002245146725,80.0
354,2,24,Kangra,1510075,5739.000080797061,263.0
420,2,25,Lahul & Spiti,31564,13841.000106717893,2.0
432,2,26,Kullu,437903,5503.000197040496,80.0
453,2,27,Mandi,999777,3950.00032714741,253.0
507,2,28,Hamirpur,454768,1117.999908243244,407.0
531,2,29,Una,521173,1539.9999053468234,338.0
549,2,30,Bilaspur,381956,1167.0003378612182,327.0
570,2,31,Solan,580320,1936.0005246703986,300.0
600,2,32,Sirmaur,529855,2825.000159454893,188.0
633,2,33,Shimla,814010,5131.000407287827,159.0
687,2,34,Kinnaur,84121,6400.999861719775,13.0
708,3,0,PUNJAB,27743338,50362.0,551.0
711,3,35,Gurdaspur,2298323,3550.9999200939587,647.0
729,3,36,Kapurthala ,815168,1633.0021470810036,499.0
744,3,37,Jalandhar,2193590,2624.0,836.0
762,3,38,Hoshiarpur,1586625,3386.0013417644177,469.0
777,3,39,Shahid Bhagat Singh Nagar ,612310,1282.0029369038625,478.0
786,3,40,Fatehgarh Sahib,600163,1180.0,509.0
801,3,41,Ludhiana,3498739,3578.0,978.0
825,3,42,Moga,995746,2242.0,444.0
837,3,43,Firozpur,2029074,5305.0,382.0
855,3,44,Muktsar,901896,2593.0,348.0
867,3,45,Faridkot,617508,1458.0,424.0
876,3,46,Bathinda,1388525,3353.0,414.0
888,3,47,Mansa,769751,2198.0,350.0
900,3,48,Patiala,1895686,3325.0,570.0
918,3,49,Amritsar ,2490656,2683.0,928.0
933,3,50,Tarn Taran,1119627,2414.0,464.0
945,3,51,Rupnagar,684627,1356.0,505.0
960,3,52,Sahibzada Ajit Singh Nagar,994628,1094.0,909.0
972,3,53,Sangrur,1655169,3625.0,457.0
993,3,54,Barnala,595527,1482.0,402.0
1002,4,0,CHANDIGARH,1055450,114.0,9258.0
1005,4,55,Chandigarh,1055450,114.0,9258.0
1011,5,0,UTTARAKHAND,10086292,53483.0,189.0
1014,5,56,Uttarkashi,330086,8016.0,41.0
1035,5,57,Chamoli,391605,8029.999497604925,49.0
1056,5,58,Rudraprayag,242285,1984.0,122.0
1068,5,59,Tehri Garhwal,618931,3642.0,170.0
1092,5,60,Dehradun,1696694,3088.0,549.0
1113,5,61,Garhwal,687271,5329.0,129.0
1143,5,62,Pithoragarh,483439,7090.0,68.0
1164,5,63,Bageshwar,259898,2241.0,116.0
1179,5,64,"Almora
",622506,3144.0,198.0
1209,5,65,Champawat,259648,1766.0,147.0
1224,5,66,Nainital,954605,4251.0,225.0
1251,5,67,Udham Singh Nagar,1648902,2542.0,649.0
1275,5,68,Hardwar,1890422,2360.0,801.0
1287,6,0,HARYANA,25351462,44212.0,573.0
1290,6,69,Panchkula,561293,897.9999179786504,625.0
1299,6,70,Ambala,1128350,1573.9999520709423,717.0
1311,6,71,Yamunanagar,1214205,1767.9998547799717,687.0
1323,6,72,Kurukshetra,964655,1529.9995148227854,630.0
1335,6,73,Kaithal,1074304,2316.999925136712,464.0
1347,6,74,Karnal,1505324,2519.9998500161546,597.0
1365,6,75,Panipat,1205437,1267.9959124636227,951.0
1377,6,76,Sonipat,1450001,2122.0,683.0
1392,6,77,Jind,1334152,2702.002297510634,494.0
1407,6,78,Fatehabad,942011,2538.0047116599712,371.0
1419,6,79,Sirsa,1295189,4277.0,303.0
1434,6,80,Hisar,1743931,3983.0,438.0
1449,6,81,Bhiwani,1634445,4778.0,342.0
1473,6,82,Rohtak,1061204,1745.0,608.0
1485,6,83,Jhajjar,958405,1834.0,523.0
1500,6,84,Mahendragarh,922088,1899.0,486.0
1509,6,85,Rewari,900332,1594.0,565.0
1521,6,86,Gurgaon,1514432,1258.0,1204.0
1539,6,87,Mewat ,1089263,1507.0,723.0
1554,6,88,Faridabad,1809733,741.0,2442.0
1563,6,89,Palwal ,1042708,1359.0,767.0
1575,7,0,NCT OF DELHI,16787941,1483.0,11320.0
1578,7,90,North West,3656539,443.0,8254.0
1590,7,91,North,887978,61.0,14557.0
1602,7,92,North East,2241624,62.0,36155.0
1614,7,93,East,1709346,63.0,27132.0
1626,7,94,New Delhi,142004,35.0,4057.0
1638,7,95,Central,582320,21.0,27730.0
1650,7,96,West,2543243,130.0,19563.0
1662,7,97,South West,2292958,421.0,5446.0
1674,7,98,South,2731929,247.0,11060.0
1686,8,0,RAJASTHAN,68548437,342239.0,200.0
